Society country,Society name,Year established
Argentina,Rose Society of Argentina,1951[9]
Australia,National Rose Society of Australia,1972[10]
Austria,Österreichische Rosenfreunde in derÖsterreichischen Gartenbau-Gesellschaft,
Belgium,"Société Royale Nationale 'Les Amis de la Rose'/Koninklijke Nationale Maatschappij ""De Vrienden van de Roos""",1926[11]
Bermuda,Bermuda Rose Society,1954[12]
Canada,Canadian Rose Society,1913[13]
Chile,Asociación Chilena de la Rosa,1998[14]
Republic of China,Chinese Rose Society,1986[15]
Czech Republic,Czech Rosa Club,1968[16]
Denmark,Det Danske Rosenselskab/The Danish Rose Society (DDRS),1968[17]
Finland,Suomen Ruususeura r.y. - Finska Rosensällskapet r.f.,1989[18]
France,Société Française des Roses,1896[19]
Germany,Gesellschaft Deutscher Rosenfreunde e.V.,1883[20]
England,Royal National Rose Society,1876[21]
Greece,The Hellenic Rose Society,1996[22]
Hungary,Hungarian Rose-Friends Society,--
Iceland,Icelandic Rose Society (IRS),2002[23]
India,Indian Rose Federation,1979[24]
Israel,The Wohl Rose Park of Jerusalem,--
Italy,Associazione Italiana della Rosa,1964[25]
Japan,Japan Rose Society(日本ばら会),1948[26]
Luxembourg,Lëtzebuerger Rousefrënn /Association Grand-Ducale des Amis de la Rose /Luxembourg Rose Society,1980[27]
Monaco,Société des Roses de Monaco,--
Netherlands,De Nederlandse Rozenvereniging,1966[28]
New Zealand,New Zealand Rose Society,1931[29]
Northern Ireland,Rose Society of Northern Ireland,1964[30]
Norway,Norwegian Rose Society,1982[31]
Pakistan,Pakistan National Rose Society,--
Romania,Asociatia Amicii Rozelor din Romania,1990[32]
Russia,Russian Association of Rosarians,2007[33]
Serbia,Royal Serbian Rose Society(Kraljevsko Udruzenje Ljubitelja Ruza Srbije),2008[34]
Slovakia,Slovak National Rose Society,--
Slovenia,Drustvo Ljubiteljev Vrtnic Slovenije (Slovenian Rose Society),--
South Africa,Federation of Rose Societies of South Africa,1980[35]
Spain,Asociación Española de la Rose,1996[36]
Sweden,Svenska Rosensällskapet/The Swedish Rose Society,1987[37]
Switzerland,Gesellschaft Schweizerischer Rosenfreunde (GSRF),1959[38]
United States,American Rose Society,1892[39]
Uruguay,Asociación Uruguaya de la Rosa,1983[40]
